Co molar ratio,Mn molar ratio,Fe molar ratio,Ni molar ratio,I (mA/cm2),FE (%),stability (-)
0.0,0.5,0.2,0.3,17.85,9.98,0.77
0.0,0.5,0.1,0.4,19.46,6.94,
0.0,0.5,0.0,0.5,23.60,6.74,0.87
0.0,0.4,0.6,0.0,15.59,20.97,0.86
0.0,0.4,0.5,0.1,13.98,17.34,0.87
0.0,0.4,0.4,0.2,16.02,15.44,0.93
0.0,0.4,0.3,0.3,16.66,15.57,0.89
0.0,0.4,0.2,0.4,21.81,12.37,0.83
0.0,0.4,0.1,0.5,20.66,12.36,0.52
0.0,0.4,0.0,0.6,22.05,13.52,0.80
0.0,0.3,0.7,0.0,19.29,22.38,0.92
0.0,0.3,0.6,0.1,16.62,22.88,0.98
0.0,0.3,0.5,0.2,20.32,21.03,1.01
0.0,0.3,0.4,0.3,22.48,27.86,1.00
0.0,0.3,0.3,0.4,21.54,24.21,0.97
0.0,0.3,0.2,0.5,22.81,23.51,0.81
0.0,0.3,0.1,0.6,20.56,25.06,0.60
0.0,0.3,0.0,0.7,23.63,22.34,0.42
0.0,0.2,0.8,0.0,21.13,23.34,0.95
0.0,0.2,0.7,0.1,20.03,27.63,1.03
0.0,0.2,0.6,0.2,21.94,31.94,1.04
0.0,0.2,0.5,0.3,24.31,41.88,1.04
0.0,0.2,0.4,0.4,25.67,40.25,1.04
0.0,0.2,0.3,0.5,26.06,38.76,0.95
0.0,0.2,0.2,0.6,26.38,36.67,0.88
0.0,0.2,0.1,0.7,23.21,38.97,0.46
0.0,0.2,0.0,0.8,20.88,38.57,0.38
0.0,0.1,0.9,0.0,21.98,24.99,1.02
0.0,0.1,0.8,0.1,23.17,30.11,1.04
0.0,0.1,0.7,0.2,23.67,46.02,1.04
0.0,0.1,0.6,0.3,25.77,50.61,1.04
0.0,0.1,0.5,0.4,27.04,49.67,1.05
0.0,0.1,0.4,0.5,26.79,51.47,1.03
0.0,0.1,0.3,0.6,27.73,52.20,1.02
0.0,0.1,0.2,0.7,26.35,47.54,0.60
0.0,0.1,0.1,0.8,23.83,50.25,0.42
0.0,0.1,0.0,0.9,16.81,46.65,0.35
0.0,0.0,1.0,0.0,21.58,48.82,1.02
0.0,0.0,0.9,0.1,23.02,37.78,1.04
0.0,0.0,0.8,0.2,24.02,46.32,1.03
0.0,0.0,0.7,0.3,25.83,50.55,1.03
0.0,0.0,0.6,0.4,27.15,50.48,1.04
0.0,0.0,0.5,0.5,28.21,55.15,1.04
0.0,0.0,0.4,0.6,27.77,57.49,1.04
0.0,0.0,0.3,0.7,28.27,56.64,1.03
0.0,0.0,0.2,0.8,28.00,56.25,0.95
0.0,0.0,0.1,0.9,27.98,59.50,0.63
0.0,0.0,0.0,1.0,26.85,61.95,0.38
